I,0.4150,0.3200,0.1100,0.3735,0.1750,0.0755,0.1090
F,0.5000,0.3850,0.1300,0.7680,0.2625,0.0950,0.2700
I,0.3250,0.2400,0.0750,0.1520,0.0650,0.0305,0.0450
F,0.5550,0.4400,0.1550,1.0160,0.4935,0.1855,0.2630
M,0.5500,0.4350,0.1450,0.8430,0.3280,0.1915,0.2550
F,0.6400,0.4900,0.1800,1.3600,0.6530,0.3470,0.3050
F,0.4350,0.3200,0.1200,0.3785,0.1520,0.0915,0.1250
I,0.3350,0.2600,0.1000,0.1920,0.0785,0.0585,0.0700
M,0.5000,0.3900,0.1250,0.5215,0.2485,0.1170,0.1310
M,0.5550,0.4600,0.1600,0.8600,0.3345,0.1935,0.2750
I,0.3200,0.2550,0.0850,0.1745,0.0720,0.0330,0.0570
M,0.5800,0.4700,0.1650,1.0410,0.5400,0.1660,0.2790
I,0.4200,0.3100,0.1000,0.2805,0.1125,0.0615,0.0925
I,0.3200,0.2400,0.0900,0.1575,0.0700,0.0265,0.0425
F,0.7050,0.5600,0.2050,2.3810,0.9915,0.5005,0.6240
F,0.6000,0.4500,0.1400,0.8370,0.3700,0.1770,0.2425
I,0.2900,0.2150,0.0650,0.0985,0.0425,0.0210,0.0310
I,0.4850,0.3650,0.0900,0.6510,0.3165,0.1320,0.1800
M,0.5950,0.4750,0.1400,1.0305,0.4925,0.2170,0.2780
I,0.1700,0.1250,0.0550,0.0235,0.0090,0.0055,0.0080
F,0.6350,0.4850,0.1900,1.3765,0.6340,0.2885,0.4060
I,0.4150,0.3100,0.0950,0.3400,0.1810,0.0570,0.0830
I,0.4600,0.3450,0.1150,0.4215,0.1895,0.1020,0.1110
F,0.6550,0.5000,0.1800,1.4155,0.5080,0.3140,0.4450
M,0.6550,0.5400,0.2150,1.8440,0.7425,0.3270,0.5850
F,0.4500,0.3250,0.1350,0.4380,0.1805,0.1165,0.1100
I,0.2350,0.1700,0.0650,0.0625,0.0230,0.0140,0.0220
F,0.6700,0.5250,0.1900,1.5270,0.5755,0.3530,0.4400
I,0.5350,0.4500,0.1700,0.7810,0.3055,0.1555,0.2950
I,0.4400,0.3300,0.1100,0.3800,0.1970,0.0790,0.0900
M,0.6250,0.4850,0.1700,1.4370,0.5855,0.2930,0.4750
F,0.5750,0.4600,0.1650,0.9575,0.4815,0.1945,0.2360
I,0.4500,0.3450,0.1100,0.4700,0.2355,0.0855,0.1135
I,0.3800,0.2850,0.0850,0.2370,0.1150,0.0405,0.0700
M,0.7200,0.5750,0.2300,2.2695,0.8835,0.3985,0.6650
I,0.3850,0.2900,0.0850,0.2505,0.1120,0.0610,0.0800
F,0.6550,0.5450,0.1650,1.6225,0.6555,0.2990,0.5130
I,0.5000,0.3900,0.1300,0.5075,0.2115,0.1040,0.1755
F,0.5450,0.4050,0.1750,0.9800,0.2585,0.2070,0.3800
M,0.2100,0.1500,0.0500,0.0385,0.0155,0.0085,0.0100
F,0.5650,0.4500,0.1950,1.0035,0.4060,0.2505,0.2850
F,0.6000,0.4750,0.1550,1.2100,0.6530,0.1695,0.3205
F,0.6900,0.5400,0.1850,1.5715,0.6935,0.3180,0.4700
M,0.6050,0.4850,0.1750,1.1450,0.4325,0.2700,0.4050
M,0.3500,0.2550,0.0650,0.1790,0.0705,0.0385,0.0600
F,0.4600,0.3650,0.1150,0.4485,0.1650,0.0830,0.1700
I,0.5850,0.4200,0.1450,0.6735,0.2895,0.1345,0.2200
M,0.3800,0.2850,0.1000,0.2665,0.1150,0.0610,0.0750
M,0.6050,0.4900,0.1800,1.2270,0.4800,0.2870,0.3500
